Year ,Notifications ,Total_Deaths,,,,,
,,,,,,,
1940,409521,857,  ,  ,  , ,
,,,,,,,
1941,409715,1145,  ,  ,  , ,
,,,,,,,
1942,286341,458,  ,  ,  , ,
,,,,,,,
1943,376104,773,  ,  ,  , ,
,,,,,,,
1944,158479,243,  ,  ,  , ,
,,,,,,,
1945,446796,729,  ,  ,  , ,
,,,,,,,
1946,160402,204,  ,  ,  , ,
,,,,,,,
1947,393787,644,  ,  ,  , ,
,,,,,,,
1948,399606,327,  ,  ,  , ,
,,,,,,,
1949,385935,307,  ,  ,  , ,
,,,,,,,
1950,367725,221,  ,  ,  , ,
,,,,,,,
1951,616182,317,  ,  ,  , ,
,,,,,,,
1952,389502,141,  ,  ,  , ,
,,,,,,,
1953,545050,242,  ,  ,  , ,
,,,,,,,
1954,146995,45,  ,  ,  , ,
,,,,,,,
1955,693803,174,  ,  ,  , ,
,,,,,,,
1956,160556,28,  ,  ,  , ,
,,,,,,,
1957,633678,94,  ,  ,  , ,
,,,,,,,
1958,259308,49,  ,  ,  , ,
,,,,,,,
1959,539524,98,  ,  ,  , ,
,,,,,,,
1960,159364,31,  ,  ,  , ,
,,,,,,,
1961,763531,152,  ,  ,  , ,
,,,,,,,
1962,184895,39,  ,  ,  , ,
,,,,,,,
1963,601255,127,  ,  ,  , ,
,,,,,,,
1964,306801,73,  ,  ,  , ,
,,,,,,,
1965,502209,115,  ,  ,  , ,
,,,,,,,
1966,343642,80,  ,  ,  , ,
,,,,,,,
1967,460407,99,  ,  ,  , ,
,,,,,,,
1968,236154,51,  ,  ,  , ,
,,,,,,,
1969,142111,36,  ,  ,  , ,
,,,,,,,
1970,307408,42,  ,  ,  , ,
,,,,,,,
1971,135241,28,  ,  ,  , ,
,,,,,,,
1972,145916,29,  ,  ,  , ,
,,,,,,,
1973,152578,33,  ,  ,  , ,
,,,,,,,
1974,109636,20,  ,  ,  , ,
,,,,,,,
1975,143072,16,  ,  ,  , ,
,,,,,,,
1976,55502,14,  ,  ,  , ,
,,,,,,,
1977,173361,23,  ,  ,  , ,
,,,,,,,
1978,124067,20,  ,  ,  , ,
,,,,,,,
1979,77363,17,  ,  ,  , ,
,,,,,,,
1980,139487,26,  ,  ,  , ,
,,,,,,,
1981,52979,15,  ,  ,  , ,
,,,,,,,
1982,94195,13,  ,  ,  , ,
,,,,,,,
1983,103700,16,  ,  ,  , ,
,,,,,,,
1984,62079,10,  ,  ,  , ,
,,,,,,,
1985,97408,11,  ,  ,  , ,
,,,,,,,
1986,82054,10,  ,  ,  , ,
,,,,,,,
1987,42158,6,  ,  ,  , ,
,,,,,,,
1988,86001,16,  ,  ,  , ,
,,,,,,,
1989,26222,3,  ,  ,  , ,
,,,,,,,
1990,13302,1,  ,  ,  , ,
,,,,,,,
1991,9680,1,  ,  ,  , ,
,,,,,,,
1992,10268,2,  ,  ,  , ,
,,,,,,,
1993,9612,4,  ,  ,  , ,
,,,,,,,
1994,16375,0,  ,  ,  , ,
,,,,,,,
1995,7447,1,  ,  ,  , ,
,,,,,,,
1996,5614,0,  ,  ,  , ,
,,,,,,,
1997,3962,3,  ,  ,  , ,
,,,,,,,
1998,3728,3,  ,  ,  , ,
,,,,,,,
1999,2438,3,  ,  ,  , ,
,,,,,,,
2000,2378,1,  ,  ,  , ,
,,,,,,,
2001,2250,1,  ,  ,  , ,
,,,,,,,
2002,3232,1,  ,  ,  , ,
,,,,,,,
2003,2488,0,,,,,
,,,,,,,
2004,2356,1,,  ,  ,  , 
,,,,,,,
2005,2089,0,,  ,  ,  , 
,,,,,,,
2006,3705,1,,,  ,  , 
,,,,,,,
2007,3670,1,,,,,
,,,,,,,
2008,5088,2,,,,,
,,,,,,,
2009,5191,1,,,,,
,,,,,,,
2010,2235,0,,  ,  ,  , 
,,,,,,,
2011,2355,1,,,,,
,,,,,,,
2012,4211,1,,,,,
,,,,,,,
2013,6193,1,,,,,
,,,,,,,
2014,1850,0,,  ,  ,  , 
,,,,,,,
2015,1193,0,,  ,  ,  , 
,,,,,,,
2016,1641,1,, ,  , ,
,,,,,,,
2017,1693,1,,,,,
