date,abundance,site,cpue,removal
4.5.21,4,1,8.333333333,Y
4.13.21,4,1,2.272727273,N
7.8.21,5,1,1.5625,Y
7.14.21,2,1,0.568181818,Y
7.22.21,42,1,11.93181818,N
7.27.21,48,1,18.75,N
8.2.21,61,1,22.42647059,Y
8.13.21,67,1,20.9375,Y
8.18.21,105,1,34.53947368,Y
8.30.21,71,1,17.06730769,N
9.10.21,114,1,26.38888889,N
9.13.21,0,1,0,N
9.21.21,77,1,21.875,Y
9.29.21,32,1,11.76470588,N
10.6.21,109,1,32.44047619,Y
10.13.21,80,1,23.80952381,Y
10.19.21,57,1,19.79166667,N
10.28.21,34,1,10.625,N
11.2.21,49,1,15.3125,Y
11.9.21,40,1,13.15789474,Y
4.5.21,2,2,4.166666667,Y
4.13.21,1,2,0.568181818,N
4.27.21,5,2,1.420454545,N
5.3.21,11,2,3.4375,N
5.13.21,13,2,4.0625,Y
5.18.21,7,2,1.875,N
5.24.21,12,2,4.411764706,Y
6.2.21,11,2,3.618421053,Y
6.10.21,22,2,6.547619048,N
6.17.21,55,2,15.625,N
6.21.21,44,2,16.17647059,Y
6.29.21,38,2,13.19444444,Y
7.8.21,14,2,4.375,Y
7.14.21,53,2,15.05681818,N
7.22.21,96,2,27.27272727,N
7.27.21,100,2,39.0625,N
8.2.21,56,2,20.58823529,Y
8.13.21,152,2,47.5,N
8.18.21,119,2,39.14473684,Y
8.30.21,88,2,21.15384615,Y
9.10.21,148,2,34.25925926,N
9.13.21,136,2,35.41666667,N
9.21.21,85,2,24.14772727,Y
9.29.21,79,2,29.04411765,Y
10.6.21,103,2,30.6547619,Y
10.13.21,99,2,29.46428571,N
10.19.21,51,2,17.70833333,N
10.28.21,29,2,9.0625,N
11.2.21,38,2,11.875,Y
11.9.21,59,2,19.40789474,N
4.13.21,1,3,0.284090909,Y
4.21.21,3,3,0.493421053,Y
4.27.21,3,3,0.426136364,N
5.3.21,6,3,0.9375,N
5.13.21,4,3,0.625,Y
5.18.21,3,3,0.46875,Y
5.24.21,8,3,1.470588235,Y
6.2.21,3,3,0.493421053,N
6.10.21,6,3,0.892857143,N
6.17.21,13,3,1.846590909,N
6.21.21,20,3,3.676470588,Y
6.29.21,21,3,3.645833333,N
7.8.21,47,3,7.34375,Y
7.14.21,45,3,6.25,Y
7.22.21,40,3,5.681818182,N
7.27.21,17,3,3.3203125,N
8.2.21,44,3,8.088235294,Y
8.13.21,35,3,5.46875,Y
8.18.21,41,3,6.743421053,Y
8.30.21,37,3,4.447115385,N
9.10.21,60,3,6.944444444,N
9.13.21,19,3,2.473958333,N
9.21.21,39,3,5.539772727,Y
9.29.21,63,3,11.58088235,N
10.6.21,68,3,10.11904762,Y
10.13.21,62,3,9.226190476,Y
10.19.21,25,3,4.340277778,N
10.28.21,67,3,10.46875,N
11.9.21,32,3,5.263157895,Y
8.18.21,18,1,2.960526316,Y
8.30.21,12,2,1.442307692,Y
9.21.21,38,3,5.397727273,N
