T,Stage1,Stage2,Stage3,Stage4,Total
1,10.40118871,5.200594354,0,1.114413076,16.71619614
2,76.5230312,27.86032689,2.228826152,1.857355126,108.4695394
3,57.57800892,37.89004458,1.857355126,0,97.32540862
4,40.49034175,50.89153046,3.343239227,0,94.72511144
5,71.69390788,16.71619614,8.172362556,1.114413076,97.69687964
6,121.0995542,28.97473997,5.572065379,2.228826152,157.8751857
7,119.9851412,52.00594354,6.686478455,0.742942051,179.4205052
8,78.75185736,41.60475483,14.48736999,1.114413076,135.9583952
9,118.8707281,53.49182764,14.48736999,1.114413076,187.9643388
10,119.9851412,39.00445765,10.77265973,1.114413076,170.8766716
11,73.551263,26.37444279,4.457652303,2.228826152,106.6121842
12,NA,NA,NA,NA,NA
13,83.58098068,111.0698366,21.54531947,1.114413076,217.3105498
